1	26	CI	1774	20	1789	46	1628	75	1494	−2	−15	−3	−13	+3	+12	+18	+89	+37	+214	+37	+208	421	159	153	109	206	109	106	662	434
2	30	GH	1756	10	1872	42	1652	101	1427	−2	−13	−2	−13	+1	+2	+34	+176	+41	+239	+47	+272	511	167	210	134	253	135	123	841	534
3	34	NG	1743	16	1828	39	1663	71	1500	+2	−2	−6	−26	−11	−43	−5	−22	0	−6	+1	+27	477	175	199	103	218	127	132	719	515
4	36	CM	1738	14	1852	52	1598	81	1453	−12	−51	−12	−47	−15	−51	−2	−10	−12	−59	+23	+153	437	120	175	142	192	115	130	658	496
5	40	EG	1710	10	1891	33	1667	68	1525	−1	−11	−5	−33	+1	−9	0	+2	+17	+114	+15	+98	613	249	209	155	297	159	157	1073	677
6	51	MA	1652	18	1823	39	1666	66	1532	−5	−11	0	+6	−3	+3	−3	−17	−2	+8	−23	−89	498	204	170	124	230	120	148	704	448
6	51	SN	1652	21	1812	58	1572	105	1393	+1	+11	−4	−9	−4	−2	−9	−42	−24	−129	+44	+214	467	161	177	129	193	147	127	599	469
8	56	TN	1625	24	1761	51	1605	83	1437	−9	−32	−6	−27	−7	−14	−17	−84	−4	+2	−11	−40	522	244	176	102	212	166	144	735	594
9	57	GN	1617	21	1799	66	1535	129	1306	+2	+11	+5	+22	+4	+35	+20	+96	+25	+137	+26	+147	400	121	167	112	154	126	120	573	470
10	61	ML	1591	39	1654	70	1516	127	1306	+7	+33	+12	+41	+12	+43	+18	+74	+20	+110	+57	+238	411	146	163	102	168	140	103	538	493
11	63	ZM	1579	30	1720	53	1577	101	1427	+9	+34	+11	+33	+14	+53	+12	+57	+22	+109	−10	−38	566	200	237	129	275	150	141	983	589
12	74	AO	1528	51	1627	79	1481	104	1397	−11	−48	−10	−59	−23	−99	−4	−21	+6	+39	−6	−16	239	87	119	33	90	71	78	301	262
13	89	ZA	1473	8	1817	22	1750	97	1452	−5	−24	0	−10	+2	−10	−16	−59	−48	−213	−59	−258	246	104	95	47	108	79	59	347	303
14	94	CD	1457	20	1789	54	1580	107	1408	−2	+3	−2	−18	−8	−38	−3	−15	−7	−9	−4	+4	350	114	155	81	145	112	93	563	439
14	94	ZW	1457	47	1579	72	1485	100	1408	0	+10	−1	−10	+1	−3	−13	−52	−11	−20	+4	+26	346	140	143	63	148	109	89	498	401
16	100	SD	1434	23	1716	76	1490	131	1295	+6	+36	+6	+45	+25	+123	+4	+42	+6	+24	+5	+33	334	112	130	92	124	128	82	434	443
17	101	GA	1430	70	1529	97	1395	124	1304	+1	+11	+8	+49	+1	+32	+2	+32	+9	+32	−8	−11	274	118	94	62	94	107	73	336	349
18	102	LY	1428	41	1628	76	1480	126	1344	−3	0	−4	−6	−6	−22	−11	−44	+13	+50	−13	−28	285	121	104	60	100	125	60	418	417
19	103	TG	1417	54	1607	83	1451	129	1301	−5	−12	−9	−39	−6	−29	−45	−190	−8	−29	+5	+28	331	124	142	65	106	140	85	361	460
20	104	CG	1416	34	1701	70	1513	123	1348	−3	−4	−5	−13	+4	+42	+2	+35	+8	+26	−22	−59	327	129	122	76	130	123	74	501	440
21	105	UG	1415	28	1629	69	1488	131	1310	0	+4	0	+23	+2	+39	+16	+93	+13	+49	−2	+7	478	169	163	146	193	159	126	790	651
