1	1	BR	2094	1	2194	5	1985	20	1813	+3	+65	0	+27	0	+20	0	+69	0	+42	0	−60	815	290	267	258	508	139	168	1777	779
2	4	AR	2019	1	2160	5	1982	26	1751	−3	−60	0	+24	+2	+39	+3	+84	0	+39	+13	+179	860	305	336	219	451	194	215	1620	941
3	18	UY	1816	1	2107	12	1874	44	1635	−3	−39	−3	−37	−1	−25	0	−25	+3	+12	+22	+129	786	270	331	185	338	260	188	1237	1009
4	19	CO	1801	5	1943	56	1542	100	1304	+7	+20	0	+3	+2	+12	+12	+38	−6	−70	+6	+43	432	131	155	146	156	157	119	523	565
5	29	PY	1770	5	1955	22	1756	43	1617	−7	−24	+5	+24	−4	+1	+1	+6	+2	+15	−5	+6	580	155	268	157	213	221	146	785	858
6	32	CL	1754	9	1889	29	1648	60	1384	+6	+11	+7	+18	+8	+26	+13	+74	+26	+166	+2	+34	608	240	223	145	213	262	133	848	929
7	42	EC	1692	22	1804	73	1450	117	1184	0	−1	−10	−55	−12	−68	−15	−81	−7	−47	−20	−94	389	125	137	127	103	189	97	436	671
8	48	PE	1659	14	1884	34	1661	73	1486	+2	+12	+5	+36	+6	+42	+4	−3	+4	+36	−10	−49	497	194	174	129	155	218	124	642	739
9	54	VE	1645	38	1705	95	1348	126	1212	0	+12	−2	+1	−2	+20	+6	+42	+8	+68	+69	+311	266	104	98	64	60	158	48	280	574
10	65	BO	1575	21	1793	59	1484	84	1244	−4	−13	0	0	+4	+17	+3	+17	+1	+30	−29	−140	352	123	125	104	82	184	86	376	692
