1	1	ES	2112	1	2133	8	1925	20	1800	+1	+6	+1	+17	0	−11	+3	+103	+6	+166	+2	+94	574	267	226	81	323	113	138	1116	541
2	2	BR	2110	1	2194	4	1987	20	1813	−1	+2	−1	+6	0	+53	−1	+52	+3	+146	−1	+15	850	300	282	268	533	142	175	1851	802
3	3	NL	2043	1	2106	16	1822	52	1537	0	+10	0	+12	0	+7	0	+20	−1	+40	+1	+63	686	325	281	80	337	194	155	1401	914
4	4	EN	2002	1	2216	4	1984	17	1791	0	+10	0	+16	0	+9	+5	+80	0	+10	+5	+89	943	406	451	86	552	178	213	2274	948
5	5	DE	1957	1	2143	8	1894	24	1639	+1	+10	0	−4	+1	0	+2	−23	+7	+69	+8	+68	829	364	344	121	476	184	169	1846	990
6	6	IT	1937	1	2131	8	1913	21	1605	−1	−14	0	−20	−2	−56	0	−45	+4	+37	+1	−3	702	322	259	121	376	139	187	1232	706
7	7	AR	1921	1	2160	5	1982	26	1751	0	+4	0	+24	+1	+26	−5	−110	−6	−87	−2	−33	893	320	353	220	471	201	221	1676	970
8	8	MX	1901	6	1958	20	1767	48	1495	0	0	0	+9	+20	+130	+4	+11	0	−9	+10	+65	739	239	205	295	375	193	171	1361	783
9	10	CL	1886	9	1889	29	1652	60	1384	0	+4	+1	+6	+2	+54	+25	+152	+32	+197	+30	+193	649	258	242	149	236	273	140	906	968
10	11	PT	1876	2	2022	20	1767	42	1619	+1	−2	+1	+2	+3	+53	−3	−59	−2	−27	−1	−34	494	235	197	62	226	154	114	796	612
11	12	FR	1861	1	2137	17	1761	40	1507	−1	−18	−3	−29	−2	−20	−7	−139	−6	−97	−10	−226	722	366	273	83	339	232	151	1273	1091
12	14	UY	1844	1	2107	13	1873	44	1635	+2	+13	+1	+31	−1	+14	+5	+38	+9	+34	+14	+100	815	282	347	186	350	267	198	1287	1042
13	15	RS	1841	3	2009	19	1788	41	1515	−1	−1	−1	+8	0	+22	+22	+113	+13	+66	−9	−102	674	240	327	107	319	210	145	1307	959
14	20	US	1786	9	1891	42	1625	89	1416	+1	+4	−3	−17	−4	−26	+2	−9	−5	−80	−1	−43	554	304	186	64	225	211	118	761	780
15	21	DK	1779	1	2077	20	1795	62	1534	−4	−20	−5	−33	−10	−83	−7	−58	−4	−69	−6	−82	723	325	329	69	331	250	142	1349	1036
16	22	AU	1776	11	1880	37	1642	77	1471	0	−3	−3	−13	+14	+46	+17	+60	0	−38	+3	+22	435	198	158	79	223	121	91	900	485
17	24	KR	1766	15	1843	37	1670	79	1446	+6	+10	+8	+17	+9	+32	+22	+95	+14	+53	+8	+36	829	257	202	370	454	167	208	1540	745
18	25	PY	1765	5	1955	22	1758	43	1617	0	+5	+4	+5	−2	−24	−6	−41	+6	+18	−5	−46	615	165	287	163	227	232	156	821	891
19	26	CH	1761	10	1918	28	1665	56	1485	−3	−13	−8	−31	−7	−44	+7	+22	+9	+38	+7	+35	705	343	315	47	229	325	151	1006	1270
20	31	CI	1741	15	1841	46	1634	75	1494	+5	+15	−3	−20	+1	+5	+8	+25	+18	+72	+29	+167	461	167	169	125	227	117	117	742	474
21	32	GR	1736	7	1931	49	1532	84	1277	−3	−21	−10	−47	−9	−53	−9	−57	−19	−144	−10	−40	479	223	217	39	171	196	112	612	726
22	36	HN	1716	23	1790	60	1493	108	1332	−9	−43	−2	−32	+2	−12	+5	+13	+14	+49	+11	+51	445	154	141	150	191	140	114	708	565
23	38	NG	1715	16	1828	39	1666	71	1500	+2	+9	−6	−34	−7	−34	0	−12	−7	−32	−7	−23	513	182	211	120	236	133	144	765	537
24	40	CM	1696	14	1852	51	1605	81	1453	−2	−17	−16	−79	+2	−15	−14	−80	−6	−31	+2	+17	470	126	187	157	209	124	137	717	531
25	41	GH	1693	10	1872	42	1655	101	1427	+1	+5	+1	+4	−5	−37	−17	−96	+40	+197	+25	+150	551	183	224	144	274	148	129	899	575
26	43	SI	1685	27	1758	57	1605	77	1516	+2	+6	+2	+13	+25	+121	+28	+138	+10	+37	+12	+56	161	69	72	20	55	64	42	199	211
27	44	JP	1681	8	1896	65	1449	114	1214	−11	−59	−25	−108	−19	−107	−14	−78	−20	−128	−1	+10	598	227	153	218	268	201	129	1016	742
28	47	SK	1671	17	1766	36	1682	57	1605	+3	+17	+2	+6	+6	+30	+6	+48	−3	−10	−8	−27	198	84	94	20	76	75	47	293	274
29	61	ZA	1596	8	1817	24	1744	97	1452	+21	+71	+22	+72	+14	+59	+23	+79	−4	−26	−12	−56	300	142	104	54	133	96	71	420	349
30	79	DZ	1544	10	1875	49	1634	108	1392	−1	+2	−19	−43	+5	+46	+25	+128	+18	+106	−12	+3	492	182	188	122	199	155	138	675	523
31	81	KP	1533	10	1844	51	1623	105	1415	−2	−8	+3	+15	−7	−6	0	+14	+14	+90	+10	+87	296	39	98	159	128	83	85	491	292
32	83	NZ	1529	31	1652	61	1498	100	1349	0	+5	−2	+2	+2	+33	−12	−18	−8	+7	−2	+40	330	112	146	72	137	138	55	601	524
